ids,date,domain
36,Wednesday,www.google.com
36,Thursday,netflix.com
36,Thursday,api-global.netflix.com
36,Monday,settings-win.data.microsoft.com
36,Thursday,netflix.com
36,Wednesday,api-global.netflix.com
36,Wednesday,prod.ftl.netflix.com
36,Sunday,prod.ftl.netflix.com
37,Wednesday,microsoftonline.com
37,Friday,www.google.com
37,Tuesday,prod.ftl.netflix.com
37,Sunday,ftl.netflix.com
37,Tuesday,microsoft.com
38,Tuesday,preapp.prod.partner.netflix.net
38,Sunday,api-global.netflix.com
38,Monday,prod.ftl.netflix.com
38,Tuesday,data.microsoft.com
38,Friday,microsoft.com
39,Saturday,windowsupdate.com
39,Wednesday,www.google.com
39,Tuesday,api-global.netflix.com
39,Sunday,windowsupdate.com
41,Thursday,safebrowsing.googleapis.com
41,Monday,netflix.com
41,Friday,microsoft.com
41,Friday,windowsupdate.com
41,Saturday,api-global.netflix.com
41,Thursday,www.google.com
41,Sunday,www.google.com
41,Friday,data.microsoft.com
41,Friday,api-global.netflix.com
41,Tuesday,partner.netflix.net
41,Sunday,data.microsoft.com
42,Thursday,safebrowsing.googleapis.com
42,Thursday,live.com
42,Monday,microsoft.com
42,Sunday,prod.ftl.netflix.com
42,Wednesday,www.google.com
42,Monday,www.google.com
42,Wednesday,windowsupdate.com
42,Tuesday,api-global.netflix.com
42,Tuesday,www.google.com
42,Thursday,prod.ftl.netflix.com
42,Tuesday,partner.netflix.net
43,Monday,microsoft.com
43,Monday,ftl.netflix.com
43,Sunday,windowsupdate.com
43,Wednesday,windowsupdate.com
43,Tuesday,ftl.netflix.com
45,Friday,data.microsoft.com
45,Wednesday,ctldl.windowsupdate.com
45,Monday,live.com
45,Sunday,microsoft.com
45,Tuesday,ftl.netflix.com
45,Thursday,windowsupdate.com
45,Tuesday,netflix.com
45,Monday,data.microsoft.com
45,Saturday,www.google.com
45,Thursday,prod.ftl.netflix.com
45,Sunday,microsoft.com
45,Monday,data.microsoft.com
45,Tuesday,prod.ftl.netflix.com
45,Tuesday,windowsupdate.com
45,Thursday,ichnaea.netflix.com
45,Wednesday,www.google.com
45,Monday,events.data.microsoft.com
45,Monday,google.com
45,Thursday,prod.ftl.netflix.com
46,Tuesday,preapp.prod.partner.netflix.net
47,Friday,events.data.microsoft.com
47,Wednesday,settings-win.data.microsoft.com
47,Tuesday,api-global.netflix.com
47,Wednesday,microsoft.com
47,Sunday,data.microsoft.com
47,Sunday,prod.ftl.netflix.com
47,Friday,ftl.netflix.com
47,Sunday,netflix.com
47,Wednesday,windowsupdate.com
47,Sunday,api-global.netflix.com
47,Tuesday,prod.ftl.netflix.com
47,Saturday,prod.ftl.netflix.com
47,Monday,netflix.com
47,Monday,data.microsoft.com
47,Thursday,windowsupdate.com
47,Tuesday,ctldl.windowsupdate.com
47,Thursday,ichnaea.netflix.com
47,Monday,safebrowsing.googleapis.com
47,Friday,ichnaea.netflix.com
47,Tuesday,prod.ftl.netflix.com
47,Saturday,windowsupdate.com
48,Wednesday,ctldl.windowsupdate.com
48,Thursday,api-global.netflix.com
48,Wednesday,www.google.com
48,Sunday,www.google.com
48,Monday,windowsupdate.com
48,Tuesday,partner.netflix.net
48,Saturday,windowsupdate.com
49,Friday,microsoftonline.com
49,Wednesday,windowsupdate.com
49,Sunday,google.com
49,Sunday,windowsupdate.com
49,Saturday,events.data.microsoft.com
49,Friday,live.com
49,Monday,ctldl.windowsupdate.com
49,Tuesday,events.data.microsoft.com
49,Wednesday,api-global.netflix.com
49,Saturday,www.google.com
49,Thursday,partner.netflix.net
49,Tuesday,microsoft.com
49,Wednesday,windowsupdate.com
49,Friday,prod.partner.netflix.net
49,Thursday,ftl.netflix.com
49,Wednesday,netflix.com
49,Friday,data.microsoft.com
49,Thursday,ftl.netflix.com
49,Sunday,netflix.com
49,Wednesday,windowsupdate.com
49,Tuesday,api-global.netflix.com
49,Friday,data.microsoft.com
49,Thursday,www.google.com
49,Friday,events.data.microsoft.com
49,Wednesday,netflix.com
50,Thursday,data.microsoft.com
50,Wednesday,ichnaea.netflix.com
50,Monday,ichnaea.netflix.com
50,Sunday,www.google.com
50,Wednesday,ftl.netflix.com
50,Tuesday,google.com
50,Monday,windowsupdate.com
50,Monday,microsoft.com
50,Thursday,windowsupdate.com
50,Friday,prod.ftl.netflix.com
50,Monday,windowsupdate.com
50,Sunday,ftl.netflix.com
50,Wednesday,data.microsoft.com
51,Thursday,api-global.netflix.com
51,Thursday,ichnaea.netflix.com
51,Monday,prod.partner.netflix.net
51,Thursday,microsoftonline.com
51,Tuesday,events.data.microsoft.com
51,Friday,netflix.com
51,Sunday,google.com
51,Wednesday,data.microsoft.com
51,Wednesday,microsoftonline.com
52,Sunday,ftl.netflix.com
52,Saturday,data.microsoft.com
52,Wednesday,ctldl.windowsupdate.com
52,Tuesday,prod.ftl.netflix.com
52,Tuesday,ctldl.windowsupdate.com
52,Monday,data.microsoft.com
52,Tuesday,www.google.com
52,Thursday,api-global.netflix.com
52,Thursday,www.google.com
52,Saturday,api-global.netflix.com
52,Thursday,www.google.com
52,Thursday,netflix.net
52,Sunday,ftl.netflix.com
53,Monday,windowsupdate.com
53,Thursday,events.data.microsoft.com
54,Saturday,ftl.netflix.com
54,Wednesday,data.microsoft.com
54,Thursday,prod.partner.netflix.net
54,Wednesday,data.microsoft.com
54,Sunday,windowsupdate.com
54,Monday,events.data.microsoft.com
54,Wednesday,www.google.com
54,Friday,preapp.prod.partner.netflix.net
54,Thursday,data.microsoft.com
54,Sunday,prod.ftl.netflix.com
54,Sunday,preapp.prod.partner.netflix.net
54,Friday,api-global.netflix.com
54,Wednesday,events.data.microsoft.com
54,Tuesday,www.google.com
54,Tuesday,www.google.com
54,Friday,prod.ftl.netflix.com
55,Thursday,api-global.netflix.com
55,Tuesday,prod.ftl.netflix.com
55,Wednesday,live.com
55,Saturday,google.com
55,Thursday,google.com
55,Monday,preapp.prod.partner.netflix.net
55,Friday,prod.ftl.netflix.com
55,Thursday,partner.netflix.net
55,Tuesday,microsoft.com
55,Wednesday,google.com
55,Tuesday,api-global.netflix.com
55,Monday,api-global.netflix.com
55,Monday,settings-win.data.microsoft.com
55,Saturday,events.data.microsoft.com
55,Wednesday,preapp.prod.partner.netflix.net
55,Thursday,microsoft.com
56,Thursday,data.microsoft.com
56,Thursday,data.microsoft.com
56,Sunday,api-global.netflix.com
56,Friday,ftl.netflix.com
56,Sunday,data.microsoft.com
56,Saturday,partner.netflix.net
56,Wednesday,windowsupdate.com
56,Saturday,api-global.netflix.com
56,Wednesday,www.google.com
56,Tuesday,windowsupdate.com
57,Thursday,safebrowsing.googleapis.com
57,Tuesday,data.microsoft.com
57,Thursday,data.microsoft.com
57,Wednesday,prod.ftl.netflix.com
57,Wednesday,netflix.com
58,Friday,netflix.net
58,Monday,prod.ftl.netflix.com
58,Friday,microsoft.com
58,Sunday,www.google.com
58,Wednesday,api-global.netflix.com
58,Tuesday,events.data.microsoft.com
58,Thursday,google.com
58,Monday,safebrowsing.googleapis.com
58,Thursday,data.microsoft.com
58,Wednesday,netflix.com
58,Sunday,ctldl.windowsupdate.com
58,Wednesday,microsoftonline.com
58,Thursday,safebrowsing.googleapis.com
58,Sunday,data.microsoft.com
58,Monday,google.com
58,Wednesday,google.com
58,Thursday,safebrowsing.googleapis.com
58,Wednesday,api-global.netflix.com
58,Tuesday,netflix.com
58,Monday,events.data.microsoft.com
58,Friday,data.microsoft.com
58,Tuesday,microsoft.com
58,Wednesday,microsoft.com
58,Saturday,microsoft.com
58,Saturday,windowsupdate.com
58,Thursday,windowsupdate.com
58,Wednesday,data.microsoft.com
59,Monday,windowsupdate.com
59,Friday,windowsupdate.com
59,Friday,partner.netflix.net
59,Friday,ftl.netflix.com
59,Tuesday,google.com
59,Wednesday,windowsupdate.com
59,Saturday,data.microsoft.com
59,Thursday,live.com
59,Monday,events.data.microsoft.com
59,Monday,api-global.netflix.com
59,Sunday,events.data.microsoft.com
59,Monday,windowsupdate.com
59,Wednesday,api-global.netflix.com
59,Saturday,ftl.netflix.com
59,Monday,www.google.com
59,Sunday,google.com
59,Sunday,ichnaea.netflix.com
61,Friday,ftl.netflix.com
61,Wednesday,netflix.com
61,Monday,events.data.microsoft.com
62,Friday,data.microsoft.com
62,Wednesday,netflix.com
62,Thursday,prod.ftl.netflix.com
62,Wednesday,live.com
62,Thursday,www.google.com
62,Tuesday,windowsupdate.com
62,Thursday,microsoft.com
62,Friday,www.google.com
62,Wednesday,data.microsoft.com
62,Thursday,safebrowsing.googleapis.com
62,Tuesday,google.com
62,Wednesday,prod.ftl.netflix.com
62,Tuesday,www.google.com
62,Saturday,netflix.net
62,Tuesday,ftl.netflix.com
62,Thursday,www.google.com
62,Saturday,windowsupdate.com
62,Saturday,www.google.com
62,Monday,prod.ftl.netflix.com
62,Friday,settings-win.data.microsoft.com
62,Saturday,events.data.microsoft.com
62,Thursday,www.google.com
62,Wednesday,windowsupdate.com
62,Friday,www.google.com
62,Saturday,api-global.netflix.com
62,Saturday,google.com
62,Sunday,api-global.netflix.com
63,Friday,netflix.net
63,Monday,www.google.com
63,Thursday,microsoft.com
63,Tuesday,netflix.com
63,Monday,api-global.netflix.com
63,Sunday,microsoftonline.com
63,Saturday,ctldl.windowsupdate.com
63,Tuesday,windowsupdate.com
63,Tuesday,safebrowsing.googleapis.com
63,Monday,api-global.netflix.com
63,Tuesday,prod.ftl.netflix.com
63,Friday,ftl.netflix.com
63,Tuesday,preapp.prod.partner.netflix.net
63,Friday,data.microsoft.com
63,Wednesday,google.com
63,Thursday,preapp.prod.partner.netflix.net
63,Thursday,netflix.com
63,Sunday,www.google.com
63,Tuesday,netflix.com
63,Sunday,netflix.com
63,Sunday,windowsupdate.com
63,Saturday,windowsupdate.com
63,Wednesday,www.google.com
63,Tuesday,windowsupdate.com
63,Thursday,preapp.prod.partner.netflix.net
63,Friday,preapp.prod.partner.netflix.net
63,Friday,events.data.microsoft.com
63,Thursday,netflix.net
63,Thursday,api-global.netflix.com
64,Sunday,www.google.com
64,Sunday,ftl.netflix.com
64,Monday,www.google.com
64,Saturday,microsoft.com
64,Tuesday,prod.ftl.netflix.com
64,Friday,prod.ftl.netflix.com
64,Tuesday,windowsupdate.com
64,Wednesday,prod.ftl.netflix.com
64,Tuesday,api-global.netflix.com
64,Sunday,google.com
64,Thursday,data.microsoft.com
64,Friday,microsoftonline.com
64,Wednesday,data.microsoft.com
64,Monday,api-global.netflix.com
65,Saturday,google.com
65,Wednesday,api-global.netflix.com
65,Thursday,api-global.netflix.com
65,Friday,windowsupdate.com
66,Wednesday,netflix.com
67,Sunday,netflix.com
67,Monday,ctldl.windowsupdate.com
67,Friday,prod.ftl.netflix.com
67,Thursday,ctldl.windowsupdate.com
67,Thursday,www.google.com
67,Tuesday,microsoftonline.com
67,Thursday,events.data.microsoft.com
67,Monday,prod.ftl.netflix.com
67,Monday,www.google.com
67,Thursday,microsoft.com
67,Tuesday,netflix.net
68,Sunday,safebrowsing.googleapis.com
68,Sunday,prod.ftl.netflix.com
68,Thursday,microsoft.com
69,Thursday,api-global.netflix.com
69,Friday,www.google.com
69,Wednesday,netflix.com
69,Friday,events.data.microsoft.com
69,Thursday,www.google.com
69,Tuesday,live.com
69,Tuesday,prod.ftl.netflix.com
69,Monday,windowsupdate.com
69,Sunday,netflix.com
69,Tuesday,api-global.netflix.com
70,Saturday,microsoftonline.com
70,Thursday,ichnaea.netflix.com
70,Friday,google.com
70,Sunday,netflix.com
70,Thursday,microsoftonline.com
71,Friday,google.com
71,Friday,microsoftonline.com
71,Wednesday,google.com
71,Wednesday,windowsupdate.com
71,Monday,netflix.com
71,Sunday,ftl.netflix.com
71,Tuesday,prod.ftl.netflix.com
71,Tuesday,google.com
72,Monday,data.microsoft.com
72,Saturday,api-global.netflix.com
72,Friday,microsoft.com
72,Monday,ftl.netflix.com
73,Wednesday,live.com
73,Saturday,prod.ftl.netflix.com
73,Sunday,data.microsoft.com
73,Tuesday,microsoft.com
73,Thursday,prod.ftl.netflix.com
73,Tuesday,api-global.netflix.com
73,Wednesday,partner.netflix.net
73,Wednesday,www.google.com
74,Monday,microsoft.com
74,Tuesday,api-global.netflix.com
74,Thursday,live.com
74,Saturday,safebrowsing.googleapis.com
75,Monday,events.data.microsoft.com
75,Wednesday,api-global.netflix.com
75,Tuesday,events.data.microsoft.com
75,Friday,safebrowsing.googleapis.com
75,Friday,microsoft.com
75,Tuesday,data.microsoft.com
75,Tuesday,ftl.netflix.com
75,Thursday,partner.netflix.net
75,Wednesday,api-global.netflix.com
75,Saturday,live.com
75,Tuesday,events.data.microsoft.com
75,Tuesday,netflix.com
75,Tuesday,microsoft.com
75,Monday,www.google.com
75,Thursday,www.google.com
75,Saturday,netflix.com
75,Wednesday,prod.ftl.netflix.com
75,Sunday,microsoft.com
75,Saturday,safebrowsing.googleapis.com
75,Thursday,microsoft.com
75,Sunday,events.data.microsoft.com
75,Monday,data.microsoft.com
75,Thursday,ichnaea.netflix.com
75,Sunday,data.microsoft.com
75,Friday,partner.netflix.net
75,Monday,ftl.netflix.com
75,Wednesday,www.google.com
76,Monday,google.com
76,Friday,prod.ftl.netflix.com
76,Wednesday,live.com
76,Saturday,events.data.microsoft.com
76,Thursday,netflix.net
76,Tuesday,data.microsoft.com
76,Sunday,www.google.com
76,Sunday,preapp.prod.partner.netflix.net
76,Wednesday,ftl.netflix.com
76,Friday,events.data.microsoft.com
76,Wednesday,www.google.com
76,Wednesday,microsoft.com
76,Monday,api-global.netflix.com
76,Sunday,data.microsoft.com
76,Wednesday,microsoftonline.com
77,Tuesday,google.com
77,Friday,netflix.com
77,Saturday,microsoftonline.com
77,Tuesday,preapp.prod.partner.netflix.net
77,Tuesday,api-global.netflix.com
77,Saturday,data.microsoft.com
78,Thursday,netflix.com
78,Friday,ctldl.windowsupdate.com
78,Friday,google.com
78,Monday,windowsupdate.com
78,Saturday,netflix.com
78,Friday,api-global.netflix.com
78,Thursday,netflix.com
78,Friday,events.data.microsoft.com
78,Friday,events.data.microsoft.com
78,Wednesday,prod.partner.netflix.net
78,Friday,netflix.com
78,Sunday,microsoftonline.com
78,Tuesday,api-global.netflix.com
78,Sunday,ftl.netflix.com
78,Friday,events.data.microsoft.com
78,Wednesday,api-global.netflix.com
79,Thursday,netflix.net
79,Sunday,data.microsoft.com
79,Friday,prod.ftl.netflix.com
79,Sunday,netflix.com
79,Sunday,ctldl.windowsupdate.com
80,Saturday,data.microsoft.com
80,Thursday,ichnaea.netflix.com
80,Thursday,prod.partner.netflix.net
80,Thursday,ftl.netflix.com
80,Sunday,data.microsoft.com
80,Wednesday,data.microsoft.com
80,Tuesday,safebrowsing.googleapis.com
80,Saturday,events.data.microsoft.com
80,Tuesday,live.com
80,Monday,events.data.microsoft.com
80,Thursday,microsoft.com
80,Friday,ftl.netflix.com
81,Saturday,prod.ftl.netflix.com
81,Monday,api-global.netflix.com
81,Friday,netflix.com
81,Monday,ftl.netflix.com
81,Friday,safebrowsing.googleapis.com
81,Thursday,netflix.com
81,Monday,ftl.netflix.com
82,Tuesday,windowsupdate.com
82,Tuesday,microsoft.com
82,Sunday,netflix.net
82,Saturday,microsoft.com
82,Wednesday,ftl.netflix.com
82,Monday,netflix.com
82,Tuesday,safebrowsing.googleapis.com
82,Friday,api-global.netflix.com
82,Wednesday,preapp.prod.partner.netflix.net
82,Thursday,data.microsoft.com
82,Wednesday,www.google.com
82,Monday,ftl.netflix.com
82,Monday,windowsupdate.com
82,Monday,data.microsoft.com
82,Sunday,google.com
82,Thursday,google.com
82,Friday,api-global.netflix.com
83,Monday,prod.partner.netflix.net
83,Tuesday,netflix.com
83,Saturday,ichnaea.netflix.com
83,Tuesday,ctldl.windowsupdate.com
83,Tuesday,data.microsoft.com
83,Thursday,api-global.netflix.com
83,Tuesday,www.google.com
83,Thursday,google.com
83,Wednesday,www.google.com
83,Saturday,netflix.com
83,Saturday,api-global.netflix.com
83,Wednesday,www.google.com
83,Wednesday,windowsupdate.com
83,Friday,ftl.netflix.com
83,Saturday,ctldl.windowsupdate.com
83,Thursday,prod.partner.netflix.net
83,Monday,microsoftonline.com
83,Wednesday,netflix.com
83,Wednesday,ichnaea.netflix.com
83,Tuesday,partner.netflix.net
83,Wednesday,ftl.netflix.com
83,Wednesday,windowsupdate.com
83,Sunday,ctldl.windowsupdate.com
83,Friday,netflix.com
83,Friday,windowsupdate.com
83,Sunday,microsoft.com
83,Thursday,ftl.netflix.com
83,Saturday,prod.partner.netflix.net
83,Wednesday,ftl.netflix.com
83,Sunday,safebrowsing.googleapis.com
83,Wednesday,ctldl.windowsupdate.com
83,Saturday,partner.netflix.net
83,Tuesday,google.com
83,Tuesday,www.google.com
83,Thursday,api-global.netflix.com
83,Thursday,prod.ftl.netflix.com
83,Saturday,microsoft.com
83,Friday,prod.ftl.netflix.com
83,Monday,google.com
83,Sunday,api-global.netflix.com
83,Friday,windowsupdate.com
83,Saturday,microsoft.com
83,Tuesday,www.google.com
83,Thursday,events.data.microsoft.com
83,Monday,ichnaea.netflix.com
83,Sunday,microsoft.com
83,Saturday,windowsupdate.com
84,Thursday,prod.ftl.netflix.com
84,Monday,www.google.com
84,Monday,windowsupdate.com
84,Wednesday,windowsupdate.com
84,Wednesday,events.data.microsoft.com
84,Tuesday,prod.ftl.netflix.com
84,Wednesday,preapp.prod.partner.netflix.net
84,Tuesday,data.microsoft.com
84,Thursday,api-global.netflix.com
84,Sunday,windowsupdate.com
84,Saturday,api-global.netflix.com
84,Monday,prod.ftl.netflix.com
84,Tuesday,data.microsoft.com
84,Tuesday,prod.ftl.netflix.com
84,Tuesday,events.data.microsoft.com
84,Friday,microsoft.com
84,Friday,events.data.microsoft.com
84,Tuesday,events.data.microsoft.com
84,Sunday,windowsupdate.com
84,Friday,ichnaea.netflix.com
85,Monday,windowsupdate.com
85,Friday,windowsupdate.com
85,Monday,prod.ftl.netflix.com
85,Tuesday,netflix.com
87,Wednesday,windowsupdate.com
87,Thursday,events.data.microsoft.com
87,Tuesday,netflix.com
87,Wednesday,data.microsoft.com
87,Tuesday,prod.ftl.netflix.com
88,Saturday,ftl.netflix.com
88,Wednesday,data.microsoft.com
88,Sunday,microsoftonline.com
88,Monday,google.com
89,Friday,google.com
89,Tuesday,www.google.com
89,Wednesday,netflix.com
89,Tuesday,data.microsoft.com
89,Sunday,windowsupdate.com
89,Thursday,netflix.com
90,Monday,api-global.netflix.com
90,Thursday,google.com
91,Monday,api-global.netflix.com
91,Saturday,live.com
91,Friday,api-global.netflix.com
91,Wednesday,netflix.com
91,Tuesday,www.google.com
91,Sunday,ftl.netflix.com
92,Thursday,windowsupdate.com
92,Wednesday,microsoft.com
93,Tuesday,ftl.netflix.com
93,Monday,prod.ftl.netflix.com
93,Thursday,ichnaea.netflix.com
93,Tuesday,events.data.microsoft.com
93,Saturday,ftl.netflix.com
